General_ID,Location,CV_GeneCode,CV_Gene_name,OA_sensitivity,Species_List,Mantle_Tissue,Reference
Calmodulin,LOC111133239,CM,"calcium/calmodulin-dependent protein kinase kinase 1-like, transcript variant X1",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111135195,CM,"calcium/calmodulin-dependent protein kinase kinase 1-like, transcript variant X1",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111135253,CM,"calmodulin-binding transcription activator 1-like, transcript variant X5",Yes,Pinctada Fucata,Yes,"1,10,12"
Calnexin,LOC111125459,CR,calnexin-like,Yes,C. virgnica,Yes,12
Calponin,LOC111099692,CN,"leucine-rich repeat and calponin homology domain-containing protein 2-like, transcript variant X4",Yes,Pinctada Fucata,Yes,"1,10"
Calponin,LOC111108212,CN,,Yes,Pinctada Fucata,Yes,"1,10"
Calponin,LOC111109302,CN,,Yes,Pinctada Fucata,Yes,"1,10"
Calponin,LOC111115451,CN,,Yes,Pinctada Fucata,Yes,"1,10"
Calreticulin,LOC111121532,CR,calreticulin-like,Yes,C. virgnica,Yes,12
Caltractin,LOC111122110,CT,Caltractin-like,Yes,C. virgnica,Yes,12
Caltractin,LOC111125421,CT,Caltractin-like (transcript discrepancy),Yes,C. virgnica,Yes,12
Caltractin,LOC111133785,CT,Caltractin-like,Yes,C. virgnica,Yes,12
Caltractin,LOC111136013,CT,Caltractin-like (transcript discrepancy),Yes,C. virgnica,Yes,12
Carbonic Anhydrase,LOC111112162,CA,,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111113402,CA,,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111114059,CA,,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111117514,CA,carbonic anhydrase 1-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111120606,CA,carbonic anhydrase-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111120607,CA,carbonic anhydrase-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111122701,CA,putative carbonic anhydrase-like protein 1,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111123083,CA,"putative carbonic anhydrase-like protein 2, transcript variant X2",Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111127093,CA,carbonic anhydrase-related protein 10-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111127254,CA,carbonic anhydrase-related protein 10-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111130106,CA,carbonic anhydrase 2-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111130107,CA,"carbonic anhydrase 2-like, transcript variant X6",Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111133036,CA,"carbonic anhydrase-related protein-like, transcript variant X2",Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111133247,CA,carbonic anhydrase 2-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111133640,CA,,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111134104,CA,carbonic anhydrase 2-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111134699,CA,,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111134700,CA,"carbonic anhydrase 2-like, transcript variant X2",Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC111137424,CA,carbonic anhydrase 1-like,Yes,B. elegans,Whole,"4,10"
Carbonic Anhydrase,LOC11125708,CA,,Yes,B. elegans,Whole,"4,10"
EF Hand ,LOC111103305,EFH,"EF-hand calcium-binding domain-containing protein 6-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111104008,EFH,"EF-hand calcium-binding domain-containing protein 6-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111110006,EFH,EF-hand calcium-binding domain-containing protein 12-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111112418,EFH,,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111112623,EFH,EF-hand calcium-binding domain-containing protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111118097,EFH,EF-hand calcium-binding domain-containing protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111118098,EFH,EF-hand calcium-binding domain-containing protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111118977,EFH,zinc finger ZZ-type and EF-hand domain-containing protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111119562,EFH,"EF-hand calcium-binding domain-containing protein 7-like, transcript variant X4",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111119770,EFH,"EF-hand calcium-binding domain-containing protein 6-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111126847,EFH,EF-hand domain-containing family member B-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111129187,EFH,EF-hand calcium-binding domain-containing protein 11-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111130486,EFH,ankyrin repeat and EF-hand domain-containing protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111131218,EFH,EF-hand calcium-binding domain-containing protein 2-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111133892,EFH,N-terminal EF-hand calcium-binding protein 1-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111135064,EFH,EF-hand domain-containing family member C2-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111135878,EFH,"ras and EF-hand domain-containing protein homolog, transcript variant X2",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111136156,EFH,EF-hand calcium-binding domain-containing protein 5-like,Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111136641,EFH,"EF-hand calcium-binding domain-containing protein 6-like, transcript variant X4",Yes,Pinctada Fucata,Yes,1
EF Hand ,LOC111137150,EFH,EF-hand domain-containing protein D2-like,Yes,Pinctada Fucata,Yes,1
Epidermal Growth Factor,LOC111134661,EGF,EGF-like domain-containing protein 2,Yes,Pinctada Fucata,Yes,1
Lysine-rich matrix protein,LOC111119664,LCMP,splicing regulatory glutamine/lysine-rich protein 1-like,Yes,Pinctada Fucata,Yes,"1,10"
Lysine-rich matrix protein,LOC111128150,LCMP,"aspartate, glycine, lysine and serine-rich protein-like, transcript variant X2",Yes,Pinctada Fucata,Yes,"1,10"
Lysine-rich matrix protein,LOC111128244,LCMP,"aspartate, glycine, lysine and serine-rich protein-like, transcript variant X11",Yes,Pinctada Fucata,Yes,"1,10"
Lysine-rich matrix protein,LOC111138384,LCMP,"leucine-, glutamate- and lysine-rich protein 1-like, transcript variant X2",Yes,Pinctada Fucata,Yes,"1,10"
Mantle Protein,LOC111115595,MAP,mantle protein-like,Yes,Pinctada Fucata,Yes,1
Mantle Protein,LOC111115840,MAP,mantle protein-like,Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111099458,MP,"serine/arginine repetitive matrix protein 2-like, transcript variant X2",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111103115,MP,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-like, transcript variant X7",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111113040,MP,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1, transcript variant X1",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111114820,MP,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111114842,MP,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like, transcript variant X4",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111114977,MP,"serine/arginine repetitive matrix protein 2-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111120584,MP,"serine/arginine repetitive matrix protein 2-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111132362,MP,serine/arginine repetitive matrix protein 2-like,Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111132990,MP,"serine/arginine repetitive matrix protein 2-like, transcript variant X6",Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111135329,MP,,Yes,Pinctada Fucata,Yes,1
Matrix Protein,LOC111137937,MP,"cartilage matrix protein-like, transcript variant X1",Yes,Pinctada Fucata,Yes,1
Nacrein,LOC111104068,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111104447,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111104833,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111104844,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111105097,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111105098,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111105106,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111105218,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111105623,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111107350,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111107361,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111107957,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111108028,NAC,,Yes,Pinctada Fucata,Yes,"1,10"
Nacrein,LOC111136431,NA,nacrein-like protein,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111105131,PIF,,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111108062,PIF,protein PIF-like,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111109234,PIF,protein PIF-like,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111113502,PIF,,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111114745,PIF,,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111116492,PIF,,Yes,Pinctada Fucata,Yes,"1,10"
PiF,LOC111121428,PIF,,Yes,Pinctada Fucata,Yes,"1,10"
Prisilkin-39,LOC111117223,PR39,,No,Pinctada Fucata,Yes,1
Prisilkin-39,LOC111117881,PR39,"prisilkin-39-like, transcript variant X2",No,Pinctada Fucata,Yes,1
Prisilkin-39,LOC111126084,PR39,,No,Pinctada Fucata,Yes,1
Prisilkin-39,LOC111128147,PR39,,No,Pinctada Fucata,Yes,1
Prismalin-14,LOC111117488,PR14,prismalin-14-like,Yes,Pinctada Fucata,Yes,"1,10"
Regucalcin,LOC111120853,RC,Regucalcin-like,Unknown,P. martensii,Yes,10
Regucalcin,LOC111121418,RC,Regucalcin-like,Unknown,P. martensii,Yes,10
Regucalcin,LOC111121420,RC,Regucalcin-like,Unknown,P. martensii,Yes,10
Shell Matrix Protein,LOC111104993,SMP,,Yes,Pinctada Fucata,Yes,"1,10"
Shell Matrix Protein,LOC111124700,SMP,,Yes,Pinctada Fucata,Yes,"1,10"
Shell Matrix Protein,LOC111126747,SMP,,Yes,Pinctada Fucata,Yes,"1,10"
Shell Matrix Protein,LOC111131210,SMP,,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111099455,SH,,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111128707,SH,,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111130135,SH,,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111130982,SH,shematrin-like protein 2,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111132639,SH,,Yes,Pinctada Fucata,Yes,"1,10"
Shematrin,LOC111132660,SH,,Yes,Pinctada Fucata,Yes,"1,10"
Silk Gland Protein,LOC111104442,SGP,silk gland factor 3-like,Unknown,C. virginica,Yes,1
Vascular endothelial Growth Factor,LOC111126735,VEGF,"vascular endothelial growth factor C-like, transcript variant X1",Unknown,C. gigas,Yes,"2,3"
Vascular endothelial Growth factor receptor,LOC111124011,VEGFR,"vascular endothelial growth factor receptor 1-like, transcript variant X1",Unknown,C. gigas,Yes,"2,3"
Vascular endothelial Growth factor receptor,LOC111130384,VEGFR,"zwei Ig domain protein zig-8-like, transcript variant X4",Unknown,C. gigas,Yes,"2,3"
Vascular endothelial Growth factor receptor,LOC111132819,VEGFR,"vascular endothelial growth factor receptor 2-like, transcript variant X4",Unknown,C. gigas,Yes,"2,3"
Calcium ATPase,LOC111108086,CATP,plasma membrane calcium-transporting ATPase 2-like,Unknown,Mollusk,Yes,15
Calcium ATPase,LOC111136548,CATP,calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like,Unknown,Mollusk,Yes,15
Calcium ATPase,LOC111136224,CATP,calcium-transporting ATPase type 2C member 1-like,Unknown,Mollusk,Yes,15
Sodium Potassium Exchanger,LOC111130283,NHE,sodium/potassium/calcium exchanger 1-like,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111129121,NHE,sodium/potassium/calcium exchanger 1-like,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111130516,NHE,sodium/potassium/calcium exchanger 4-like,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111114661,NHE,sodium/potassium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111112705,NHE,sodium/potassium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111132104,NHE,probable sodium/potassium/calcium exchanger,Unknown,Mollusk,Yes,"14,15"
Sodium Potassium Exchanger,LOC111128672,NHE,sodium/potassium/calcium exchanger 4-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111129088,NCX,sodium/calcium exchanger 2-like,Unknown,Mollusk,Yes,15
Sodium Calcium Exchanger,LOC111119600,NCX,sodium/calcium exchanger 2-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111122434,NCX,sodium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111121830,NCX,sodium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111121880,NCX,sodium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111117926,NCX,sodium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111129095,NCX,sodium/calcium exchanger 1-like,Unknown,Mollusk,Yes,"14,15"
Sodium Calcium Exchanger,LOC111111628,NCX,sodium/calcium exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111100466,NHE,sodium/hydrogen exchanger 9-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111119172,NHE,sodium/hydrogen exchanger 9B2-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111118627,NHE,sodium/hydrogen exchanger 9B2-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111118161,NHE,sodium/hydrogen exchanger 9B2-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111102695,NHE,sodium/hydrogen exchanger 9B2-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111137590,NHE,sodium/hydrogen exchanger 8-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111122544,NHE,sodium/hydrogen exchanger 8-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111136967,NHE,sodium/hydrogen exchanger 10-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111135925,NHE,sodium/hydrogen exchanger 1-like,Unknown,Mollusk,Yes,"14,15"
Sodium Hydrogen Exchanger,LOC111133973,NHE,sodium/hydrogen exchanger 3-like,Unknown,Mollusk,Yes,"14,15"
Bicarbonate Transporter,LOC111118314,BT,sodium bicarbonate transporter-like protein 11,Unknown,Mollusk,Yes,"14,15"
Bicarbonate Transporter,LOC111125089,BT,sodium bicarbonate transporter-like protein 11,Unknown,Mollusk,Yes,"14,15"
Bicarbonate Transporter,LOC111120445,BT,sodium bicarbonate transporter-like protein 11,Unknown,Mollusk,Yes,"14,15"
Bicarbonate Transporter,LOC111120427,BT,sodium bicarbonate transporter-like protein 11,Unknown,Mollusk,Yes,"14,15"
Bicarbonate Transporter,LOC111119272,BT,sodium bicarbonate transporter-like protein 11,Unknown,Mollusk,Yes,"14,15"
