"lavenderblush3.gene_id","lavenderblush3.cpg_count","lavenderblush3.protein_id","lavenderblush3.chr","lavenderblush3.method","lavenderblush3.feature","lavenderblush3.start","lavenderblush3.end","lavenderblush3.score","lavenderblush3.strand","lavenderblush3.phase","lavenderblush3.CDS_ID","lavenderblush3.Parent","lavenderblush3.Description","lavenderblush3.GO.SLIM","lavenderblush3.Enzyme.Codes","lavenderblush3.Enzyme.Names","lavenderblush3.InterproScan.GO.ID"
"LOC111129624",NA,"XP_022331788.1","NC_035783.1","Gnomon","CDS","34513625","34513943",".","+","0","cds24020","rna26052","uncharacterized protein LOC111129624","","","",""
"LOC111115675",152,"XP_022310213.1","NC_035780.1","Gnomon","CDS","25906687","25906875",".","+","0","cds2345","rna2623","phosphatidate phosphatase LPIN3-like isoform X1","","","",""
"LOC111130748",NA,"XP_022333679.1","NC_035783.1","Gnomon","CDS","43730798","43730821",".","+","0","cds24978","rna27183","serine incorporator 5-like","C:GO:0005575","","","GO:0016020"
"LOC111131843",153,"XP_022335280.1","NC_035783.1","Gnomon","CDS","49508198","49508380",".","-","0","cds25330","rna27592","lysosomal-trafficking regulator-like isoform X1","F:GO:0003674; P:GO:0008150","","","GO:0005515;GO:0007040"
"LOC111129735",14,"XP_022331913.1","NC_035783.1","Gnomon","CDS","50907955","50907985",".","+","0","cds25423","rna27725","LOW QUALITY PROTEIN: potassium channel subfamily K member 1-like","C:GO:0005575; F:GO:0022857","","","GO:0005267;GO:0016021;GO:0071805"
"LOC111103306",NA,"XP_022292192.1","NC_035780.1","Gnomon","CDS","27422088","27422125",".","+","0","cds2554","rna2840","zinc transporter ZIP10-like isoform X1","C:GO:0005575; F:GO:0022857","","","GO:0016020;GO:0030001;GO:0046873;GO:0055085"
"LOC111135631",NA,"XP_022341570.1","NC_035784.1","Gnomon","CDS","10162758","10163888",".","+","0","cds27437","rna29919","uncharacterized protein LOC111135631","","","",""
"LOC111135577",NA,"XP_022341474.1","NC_035784.1","Gnomon","CDS","10430152","10431282",".","-","0","cds27508","rna29991","uncharacterized protein LOC111135577 isoform X1","","","",""
"LOC111134431",24,"XP_022339141.1","NC_035784.1","Gnomon","CDS","13117171","13117281",".","-","0","cds27804","rna30325","LOW QUALITY PROTEIN: anoctamin-7-like","F:GO:0003674; P:GO:0006810; P:GO:0007009","","","GO:0046983;GO:0061588"
"LOC111135413",NA,"XP_022341163.1","NC_035784.1","Gnomon","CDS","21022880","21022882",".","+","0","cds28567","rna31166","LOW QUALITY PROTEIN: transcriptional regulator Erg-like","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0009058; C:GO:0032991; P:GO:0034641","","","GO:0003700;GO:0005634;GO:0005667;GO:0006355;GO:0006355;GO:0043565"
"LOC111137395",NA,"XP_022344548.1","NC_035784.1","Gnomon","CDS","23284758","23284994",".","-","0","cds28795","rna31406","putative tyrosinase-like protein tyr-1","F:GO:0016491","","","GO:0016491"
"LOC111133576",NA,"XP_022337779.1","NC_035784.1","Gnomon","CDS","26750237","26750444",".","-","0","cds29158","rna31817","uncharacterized protein LOC111133576 isoform X1","","","",""
"LOC111132911",38,"XP_022336548.1","NC_035784.1","Gnomon","CDS","28966556","28966629",".","+","0","cds29388","rna32071","probable cation-transporting ATPase 13A3 isoform X1","GO:0005575;GO:0006810;GO:0016887","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0000166;GO:0006812;GO:0016021;GO:0016887"
"LOC111136462",66,"XP_022343035.1","NC_035784.1","Gnomon","CDS","36949328","36949641",".","-","0","cds30319","rna33086","RING finger and SPRY domain-containing protein 1-like","F:GO:0003674","","","GO:0005515"
"LOC111135069",34,"XP_022340484.1","NC_035784.1","Gnomon","CDS","37971556","37971604",".","-","0","cds30480","rna33250","transmembrane protein 132E-like","","","",""
"LOC111133231",NA,"XP_022337126.1","NC_035784.1","Gnomon","CDS","41153693","41155036",".","-","0","cds30932","rna33732","uncharacterized protein LOC111133231","","","",""
"LOC111137588",4,"XP_022344811.1","NC_035784.1","Gnomon","CDS","42669344","42669465",".","-","0","cds31124","rna33966","ubiquitin-conjugating enzyme E2 J2-like","","","",""
"LOC111135471",NA,"XP_022341281.1","NC_035784.1","Gnomon","CDS","47153337","47153376",".","-","0","cds31492","rna34418","zinc finger protein ZFPM1-like isoform X1","F:GO:0008134; P:GO:0009058; P:GO:0034641","","","GO:0001085;GO:0003676;GO:0006357"
"LOC111132418",10,"XP_022335929.1","NC_035784.1","Gnomon","CDS","48567751","48567808",".","+","1","cds31578","rna34515","uncharacterized protein LOC111132418","","","",""
"LOC111136102",14,"XP_022342416.1","NC_035784.1","Gnomon","CDS","48605203","48605341",".","-","1","cds31580","rna34517","TRPL translocation defect protein 14-like","","","",""
"LOC111138173",NA,"XP_022345729.1","NC_035784.1","Gnomon","CDS","50486039","50486155",".","-","0","cds31728","rna34702","ribosomal RNA small subunit methyltransferase NEP1-like","F:GO:0008168","","","GO:0008168"
"LOC111113091",NA,"XP_022306786.1","NC_035780.1","Gnomon","CDS","33032815","33032889",".","+","0","cds3150","rna3468","laccase-like","F:GO:0016491; F:GO:0043167","","","GO:0005507;GO:0016491;GO:0055114"
"LOC111134061",NA,"XP_022338567.1","NC_035784.1","Gnomon","CDS","55448083","55448613",".","+","0","cds32350","rna35354","uncharacterized protein LOC111134061","C:GO:0005576; P:GO:0007155; F:GO:0043167","","","GO:0005509;GO:0005576;GO:0007160"
"LOC111136983",NA,"XP_022343897.1","NC_035784.1","Gnomon","CDS","55469167","55469310",".","-","0","cds32352","rna35356","uncharacterized protein LOC111136983","C:GO:0005576; P:GO:0007155; F:GO:0043167","","","GO:0005509;GO:0005576;GO:0007160"
"LOC111137326",60,"XP_022344465.1","NC_035784.1","Gnomon","CDS","58791774","58791881",".","+","0","cds32667","rna35699","metal tolerance protein 11-like","C:GO:0005575; F:GO:0022857","","","GO:0006812;GO:0008324;GO:0016021;GO:0055085"
"LOC111135284",101,"XP_022340921.1","NC_035784.1","Gnomon","CDS","96266922","96267889",".","-","2","cds36212","rna39618","nuclear hormone receptor HR96-like isoform X1","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0007165; P:GO:0009058; C:GO:0032991; P:GO:0034641; F:GO:0043167","","","GO:0003700;GO:0003707;GO:0005634;GO:0005667;GO:0006355;GO:0006355;GO:0007165;GO:0008270;GO:0043565"
"LOC111099725",NA,"XP_022286850.1","NC_035785.1","Gnomon","CDS","1021044","1021134",".","-","0","cds36477","rna39903","tumor susceptibility gene 101 protein-like","P:GO:0006464; P:GO:0006810","","","GO:0006464;GO:0015031"
"LOC111114587",NA,"XP_022308668.1","NC_035780.1","Gnomon","CDS","37951905","37952334",".","+","0","cds3555","rna3919","sialin-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111100847",NA,"XP_022288666.1","NC_035785.1","Gnomon","CDS","3193413","3193544",".","+","0","cds36603","rna40072","proline-rich transmembrane protein 1-like","C:GO:0005575","","","GO:0016021"
"LOC111122999",2,"XP_022320782.1","NC_035780.1","Gnomon","CDS","38247224","38247260",".","-","0","cds3600","rna3965","uncharacterized protein LOC111122999","","","",""
"LOC111101836",41,"XP_022290165.1","NC_035785.1","Gnomon","CDS","14330347","14330526",".","+","2","cds37480","rna41093","ectonucleotide pyrophosphatase/phosphodiesterase family member 5-like","F:GO:0003674","","","GO:0003824"
"LOC111101093",NA,"XP_022289095.1","NC_035785.1","Gnomon","CDS","36501253","36503319",".","-","0","cds39119","rna43008","leucine-rich repeat-containing G-protein coupled receptor 4-like","F:GO:0003674","","","GO:0005515"
"LOC111099859",NA,"XP_022287039.1","NC_035785.1","Gnomon","CDS","43212462","43212921",".","-","1","cds39753","rna43742","uncharacterized protein LOC111099859","C:GO:0005575","","","GO:0016021"
"LOC111104860",NA,"XP_022294731.1","NC_035786.1","Gnomon","CDS","3856338","3856522",".","-","1","cds40404","rna44682","uncharacterized protein LOC111104860","","","",""
"LOC111120234",NA,"XP_022316672.1","NC_035780.1","Gnomon","CDS","46719179","46720168",".","+","0","cds4262","rna4701","uncharacterized protein LOC111120234","","","",""
"LOC111103823",NA,"XP_022293049.1","NC_035786.1","Gnomon","CDS","42677652","42677874",".","-","2","cds43413","rna48089","serine protease inhibitor dipetalogastin-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111105497",26,"XP_022295532.1","NC_035786.1","Gnomon","CDS","49035682","49035751",".","+","0","cds44055","rna48778","LOW QUALITY PROTEIN: cysteine and histidine-rich domain-containing protein 1-like","","","",""
"LOC111103954",1,"XP_022293315.1","NC_035786.1","Gnomon","CDS","52635054","52635197",".","-","2","cds44360","rna49116","adhesion G-protein coupled receptor D1-like isoform X1","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007166;GO:0007186;GO:0016021"
"LOC111106029",NA,"XP_022296250.1","NC_035787.1","Gnomon","CDS","13929135","13929311",".","+","0","cds45912","rna50815","uncharacterized protein LOC111106029","F:GO:0003677; P:GO:0006259; P:GO:0032196","","","GO:0003677;GO:0006313;GO:0015074"
"LOC111137014",NA,"XP_022343947.1","NC_035780.1","Gnomon","CDS","51789821","51789874",".","-","0","cds4681","rna5177","transient receptor potential cation channel subfamily M member 2-like","C:GO:0005575; F:GO:0022857","","","GO:0005216;GO:0006811;GO:0016020;GO:0055085"
"LOC111108124",236,"XP_022299420.1","NC_035787.1","Gnomon","CDS","36416847","36416986",".","+","2","cds47931","rna53074","IQ motif and SEC7 domain-containing protein 1-like isoform X1","P:GO:0007165; F:GO:0019899","","","GO:0005086;GO:0032012;GO:0043087"
"LOC111108302",NA,"XP_022299792.1","NC_035787.1","Gnomon","CDS","58905958","58906006",".","-","0","cds49992","rna55366","uncharacterized protein LOC111108302","","","",""
"LOC111108509",1,"XP_022300163.1","NC_035787.1","Gnomon","CDS","73796852","73796910",".","-","0","cds51200","rna56719","N-alpha-acetyltransferase 11-like isoform X1","","","",""
"LOC111111206",NA,"XP_022303740.1","NC_035788.1","Gnomon","CDS","4960586","4962088",".","-","0","cds51706","rna57296","latrophilin receptor-like protein A","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007166;GO:0007186;GO:0016021"
"LOC111112955",NA,"XP_022306556.1","NC_035788.1","Gnomon","CDS","21605015","21605054",".","-","0","cds52773","rna58532","integrin beta-3-like","","","",""
"LOC111100888",2,"XP_022288745.1","NC_035780.1","Gnomon","CDS","59972686","59972896",".","-","0","cds5504","rna6099","LOW QUALITY PROTEIN: von Willebrand factor A domain-containing protein 7-like","","","",""
"LOC111113404",NA,"XP_022307364.1","NC_035788.1","Gnomon","CDS","67300754","67300956",".","+","0","cds55748","rna62006","integrin alpha-8-like","C:GO:0005886; P:GO:0007155; C:GO:0032991","","","GO:0007155;GO:0008305"
"LOC111115095",72,"XP_022309391.1","NC_035788.1","Gnomon","CDS","67754064","67754264",".","+","0","cds55781","rna62040","vitamin D3 hydroxylase-associated protein-like","GO:0006520;GO:0009056;GO:0016810;GO:0034641","EC:3.5.1.4","Amidase","GO:0004040;GO:0006525;GO:0006558;GO:0006560;GO:0006568;GO:0018874;GO:0042207"
"LOC111110931",NA,"XP_022303305.1","NC_035788.1","Gnomon","CDS","68764339","68765625",".","+","0","cds55876","rna62142","ankyrin repeat%2C PH and SEC7 domain containing protein secG-like","F:GO:0003674; P:GO:0007165","","","GO:0005515;GO:0035556"
"LOC111115824",NA,"XP_022310393.1","NC_035788.1","Gnomon","CDS","69896878","69897981",".","+","0","cds55963","rna62230","cholecystokinin receptor-like","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
"LOC111113408",155,"XP_022307368.1","NC_035788.1","Gnomon","CDS","71534689","71534855",".","-","1","cds56124","rna62397","testis-expressed protein 10 homolog isoform X1","","","",""
"LOC111115965",NA,"XP_022310603.1","NC_035788.1","Gnomon","CDS","75714289","75714939",".","-","0","cds56428","rna62737","skeletal aspartic acid-rich protein 2-like","","","",""
"LOC111115962",NA,"XP_022310596.1","NC_035788.1","Gnomon","CDS","75745815","75745878",".","-","0","cds56430","rna62739","uncharacterized protein LOC111115962 isoform X1","","","",""
"LOC111116102",NA,"XP_022310807.1","NC_035788.1","Gnomon","CDS","99470229","99470256",".","-","0","cds58081","rna64656","LOW QUALITY PROTEIN: adhesion G protein-coupled receptor L3-like","F:GO:0003674; C:GO:0005575; P:GO:0007165; P:GO:0048646","","","GO:0004930;GO:0007166;GO:0007186;GO:0016021;GO:0016525"
"LOC111116101",NA,"XP_022310806.1","NC_035788.1","Gnomon","CDS","99486277","99486340",".","-","0","cds58082","rna64657","multiple epidermal growth factor-like domains protein 10","","","",""
"LOC111115697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111117038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111119735",133,"XP_022315899.1","NC_035781.1","Gnomon","CDS","4728964","4729018",".","-","0","cds6609","rna7286","LOW QUALITY PROTEIN: cadherin-23-like","C:GO:0005886; P:GO:0007155; F:GO:0043167","","","GO:0005509;GO:0005886;GO:0007156"
"LOC111117946",NA,"XP_022312895.1","NC_035781.1","Gnomon","CDS","12261467","12261813",".","+","1","cds7469","rna8184","transcription factor SOX-9-like","F:GO:0003700; P:GO:0009058; P:GO:0034641","","","GO:0000981;GO:0006355"
"LOC111121367",NA,"XP_022318331.1","NC_035781.1","Gnomon","CDS","20250519","20250587",".","-","0","cds8323","rna9092","uncharacterized protein LOC111121367 isoform X1","","","",""
"LOC111122194",3,"XP_022319527.1","NC_035781.1","Gnomon","CDS","24927022","24927244",".","-","0","cds8750","rna9549","uncharacterized protein LOC111122194","","","",""
"LOC111118955",NA,"XP_022314394.1","NC_035781.1","Gnomon","CDS","25690993","25691003",".","+","0","cds8831","rna9636","acyl-CoA desaturase-like isoform X1","GO:0006629;GO:0016491","EC:1.14.19","Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","GO:0006629;GO:0016717;GO:0055114"
"LOC111121164",NA,"XP_022318022.1","NC_035781.1","Gnomon","CDS","28211647","28212050",".","+","0","cds9057","rna9881","decapping and exoribonuclease protein-like","","","",""
"LOC111118707",NA,"XP_022314000.1","NC_035781.1","Gnomon","CDS","32695612","32696376",".","+","0","cds9509","rna10369","prostaglandin E2 receptor EP4 subtype-like","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
"LOC111119702",NA,"XP_022315838.1","NC_035781.1","Gnomon","CDS","36971895","36971918",".","+","0","cds9962","rna10856","LOW QUALITY PROTEIN: uncharacterized protein LOC111119702","C:GO:0005575; P:GO:0016192","","","GO:0016021;GO:0016192"
"LOC111121079",NA,"XP_022317912.1","NC_035781.1","Gnomon","CDS","44433001","44433065",".","+","2","cds10647","rna11616","uncharacterized protein LOC111121079","","","",""
"LOC111121394",NA,"XP_022318371.1","NC_035781.1","Gnomon","CDS","57500397","57500534",".","-","0","cds12047","rna13139","uncharacterized protein LOC111121394","","","",""
"LOC111119265",NA,"XP_022314980.1","NC_035781.1","Gnomon","CDS","59255345","59255486",".","+","0","cds12233","rna13344","uncharacterized protein LOC111119265 isoform X1","","","",""
"LOC111119992",NA,"XP_022316302.1","NC_035781.1","Gnomon","CDS","59455627","59455768",".","+","0","cds12254","rna13368","uncharacterized protein LOC111119992 isoform X1","","","",""
"LOC111126340",NA,"XP_022326590.1","NC_035782.1","Gnomon","CDS","8547532","8547613",".","+","0","cds13112","rna14288","uncharacterized protein LOC111126340","","","",""
"LOC111126440",60,"XP_022326805.1","NC_035782.1","Gnomon","CDS","24602210","24602302",".","-","1","cds14603","rna15926","proton-coupled amino acid transporter 2-like","","","",""
